tweet_id,SourceDataBase,OS,Tweet-Class_category-Code,Tweet_source,Tweeted-By,retweet_count,Tweet,Country,class
neu-GG-Tweet-11898,MySQL,Windows,99,S1,P31966,0,Its 5am and I'm awake ,Canada,2
neu-GG-Tweet-11897,MySQL,Windows,99,S1,P31965,0,@jaysinhorror I wasn't able to get any 7&quot;s ,Canada,2
neu-GG-Tweet-11896,MySQL,Windows,99,S1,P31964,0,Boooooo! Work tomorrow ,Canada,2
neu-569018352464588000,Orcale12c,UNIX,99,S6,P254,0," If you'd love to see more girls be inspired to become pilots, RT our free WOAW event March 2-8 at A",USA,2
neu-GG-Tweet-11895,MySQL,Windows,99,S1,P31963,0,"That's the problem with missing people; we miss the angel they were at a glance, at their best.not the creature that actually exists.  ",Canada,2
neu-568989005162766000,Orcale12c,UNIX,99,S6,P256,0," beats expectations, shares take off - Santa Cruz Sentinel http://t.co/qm9dQbai6G",USA,2
neu-568977439398821000,Orcale12c,UNIX,99,S6,P257,0, any plans to start flying direct from DAL to LAS?,USA,2
neu-568977175149293000,Orcale12c,UNIX,99,S6,P258,0, BIG Love/gratitude.mpower w/ http://t.co/1AGR9knCpf weRin #OSCARS2105 VIPswagbags@ #AvalonHollywood,USA,2
neu-GG-Tweet-11894,MySQL,Windows,99,S1,P31962,0,"@kestagg I had tickets an everything. Improv nationals ended up being the same week though  I think they are still on ebay, didn't sell",Canada,2
neu-GG-Tweet-11893,MySQL,Windows,99,S1,P31961,0,"@Strabismus I assume you live in the Midwest? I watch Jimmy every night, I miss Conan ",Canada,2
neu-568945265899483000,Orcale12c,UNIX,99,S6,P261,0, Grand Budapest Hotel #OscarsCountdown,USA,2
neu-568943244027006000,Orcale12c,UNIX,99,S6,P262,0, This is what you missed @NewsVP. Next trip to the 407.,USA,2
neu-GG-Tweet-11892,MySQL,Windows,99,S1,P31960,0,wheres my @robgold601  BlackBerry messenger is not the same ,Canada,2
neu-GG-Tweet-11891,MySQL,Windows,99,S1,P31959,0,"with Cody, but that was horrible. never again. I'm traumatized ",Canada,2
neu-GG-Tweet-11890,MySQL,Windows,99,S1,P31958,0,Watchin Friday The 13th Part 3 on Fuse wit my mom. I got sunburned 2day its a miracle. 1st nice day out nd I get burned ,Canada,2
neu-GG-Tweet-11889,MySQL,Windows,99,S1,P31957,0,"is bored - stuck inside after the snow storm, nothing on TV ",Canada,2
neu-GG-Tweet-11888,MySQL,Windows,99,S1,P31956,0,"The only thing I'm enjoying about this night so far is the wine. Ugh, we're getting our asses handed to us ",Canada,2
neu-568928605226426000,Orcale12c,UNIX,99,S6,P268,0, shares rise on Q4 financial results - USA TODAY http://t.co/lFS4PEFE6y,USA,2
neu-568926018049691000,Orcale12c,UNIX,99,S6,P269,0, Adds Pillows Instead of Lie-Flat Seats in First Class Arms Race http://t.co/rGYwJBbhm4,USA,2
neu-GG-Tweet-11887,MySQL,Windows,99,S1,P31955,0,"On my way to airport, saying bye to the kids was soooo hard ",Canada,2
neu-568920614716600000,Orcale12c,UNIX,99,S6,P271,0, way to take advantage of #MayweatherPacquiao :),USA,2
neu-568920221882257000,Orcale12c,UNIX,99,S6,P272,0, you know I'm flying virgin for the fight #MayweatherPacquiao,USA,2
neu-GG-Tweet-11886,MySQL,Windows,99,S1,P31954,0,@nasaw033 jaybug i think the kool aid fixed me but now it's all gone ,Canada,2
neu-GG-Tweet-11885,MySQL,Windows,99,S1,P31953,0,"@PJA4ever Lol, I doo, but I don't get tweet alerts ",Canada,2
neu-GG-Tweet-11884,MySQL,Windows,99,S1,P31952,0,@Cherrim /me gets molested by pedos ,Canada,2
neu-568898405189038000,Orcale12c,UNIX,99,S6,P276,0, shares up on 4Q results - @iol http://t.co/XZ6qeG3nef,USA,2
neu-GG-Tweet-11883,MySQL,Windows,99,S1,P31951,0,you said you'd NEVER forget! ,Canada,2
neu-GG-Tweet-11882,MySQL,Windows,99,S1,P31950,0,people on neopets ARE HORRIBLE people   ,Canada,2
neu-568890062286385000,Orcale12c,UNIX,99,S6,P279,0, When are you guys going to start flying to Paris? @VirginAmerica: @LizaUtter You're welcome.â€,USA,2
neu-568884848632279000,Orcale12c,UNIX,99,S6,P280,0, what is your policy on flying after surgery?  I am still waiting for answer so I can tell me doctor,USA,2
neu-GG-Tweet-11881,MySQL,Windows,99,S1,P31949,0,@destinyjoyful DEEsSSS I texted you and now I am about to go to bed  check your texts I tried to call too! I'll talk to you tom,Canada,2
neu-GG-Tweet-11880,MySQL,Windows,99,S1,P31948,0,"@EmilyK4 the sec on the left, opposite side of @JonathanRKnight  i was totally bummed, but I talked to him at the M&amp;G and he looked for me",Canada,2
neu-GG-Tweet-11879,MySQL,Windows,99,S1,P31947,0,@KayKay89 i guess everyone went out 2nite ,Canada,2
neu-568867068331864000,Orcale12c,UNIX,99,S6,P284,0, I think i left something on the plane yesterday. who do i call...ah!,USA,2
neu-568865011717705000,Orcale12c,UNIX,99,S6,P285,0, I need you to follow back in order to DM.,USA,2
neu-568864815654899000,Orcale12c,UNIX,99,S6,P286,0, Need to start flying to @KCIAirport .  ðŸ˜ŠðŸ˜€ðŸ˜ƒðŸ˜„,USA,2
neu-568855933360607000,Orcale12c,UNIX,99,S6,P287,0, they told to check with the airline regulation first so that is why I contacted you.,USA,2
neu-GG-Tweet-11878,MySQL,Windows,99,S1,P31946,0,You didn't come outside to do meet and greet tonight ,Canada,2
neu-GG-Tweet-11877,MySQL,Windows,99,S1,P31945,0,well time to pack up now ,Canada,2
neu-GG-Tweet-11876,MySQL,Windows,99,S1,P31944,0,@SamMarinucci I saw the trailer for My Sister's Keeper at 17 again!!! It looks really good but I'm not really a fan of the cast ,Canada,2
neu-568847512372514000,Orcale12c,UNIX,99,S6,P291,0, what is your policy on flying after surgery?,USA,2
neu-568845553104068000,Orcale12c,UNIX,99,S6,P292,0, posts second consecutive full-year net profit - @ATWOnline http://t.co/tvB5zbzVhg,USA,2
neu-GG-Tweet-11875,MySQL,Windows,99,S1,P31943,0,@parakeetluvr im sorry hun  i wish i could help,Canada,2
neu-GG-Tweet-11874,MySQL,Windows,99,S1,P31942,0,watching #Tron and then trying to get some sleep before this horrible weekend begins... ,Canada,2
neu-568838020041809000,Orcale12c,UNIX,99,S6,P295,0, Results Handily Exceed Forecasts - @NYTimes http://t.co/gonmRwEM6I,USA,2
neu-568837602071203000,Orcale12c,UNIX,99,S6,P296,0," I applied for a position in @flyLAXairport ,and I was wondering if you guys received my application",USA,2
neu-568833739192557000,Orcale12c,UNIX,99,S6,P297,0, achieves a second year of profitability despite revenue pressure ... - @CAPA_Aviation http://t.co/z,USA,2
neu-568830466830151000,Orcale12c,UNIX,99,S6,P298,0," gives positive outlook, but sees increased competition - @Reuters http://t.co/jEu7Od3eYJ",USA,2
neu-GG-Tweet-11873,MySQL,Windows,99,S1,P31941,0,Y!:watching a ovie and horny ,Canada,2
neu-568828648687591000,Orcale12c,UNIX,99,S6,P300,0, weather delays &gt; next few weeks ;) #JFK #BOS #DCA,USA,2
neu-568828112626012000,Orcale12c,UNIX,99,S6,P301,0, @madbee95 check the website before you go to the airport!,USA,2
neu-GG-Tweet-11872,MySQL,Windows,99,S1,P31940,0,At the Wally till 3AM. Please come rescue me... ,Canada,2
neu-568823689422053000,Orcale12c,UNIX,99,S6,P303,0, pilot says we expect a choppy landing in NYC due to some gusty winds w/a temperature of about 5 deg,USA,2
neu-GG-Tweet-11871,MySQL,Windows,99,S1,P31939,0,Only two days of vacation left ,Canada,2
neu-GG-Tweet-11870,MySQL,Windows,99,S1,P31938,0,"@Erardo yeah 3 more hours, maybe sooner (please pray). 50% of my health is all I need to make money. But Ban I'm developing a minor cough ",Canada,2
neu-GG-Tweet-11869,MySQL,Windows,99,S1,P31937,0,the reason i left you tonight was that i thought you left me first all alone. even carlos took off. ,Canada,2
neu-GG-Tweet-11868,MySQL,Windows,99,S1,P31936,0,still wondering what happened to gerard butler's page  ,Canada,2
neu-GG-Tweet-11867,MySQL,Windows,99,S1,P31935,0,Getting ready 4 work ,Canada,2
neu-GG-Tweet-11866,MySQL,Windows,99,S1,P31934,0,I wish I were at Coachella ,Canada,2
neu-568800805475782000,Orcale12c,UNIX,99,S6,P310,0, is saving my sanity right now: http://t.co/ELtBOLjUl9,USA,2
neu-568795484283736000,Orcale12c,UNIX,99,S6,P311,0, missed my flight. How does standby work?,USA,2
neu-GG-Tweet-11865,MySQL,Windows,99,S1,P31933,0,@_kelli Sure! I'm thankful they did so much research. Horizon is at the bottom with 0 cows.    Sunnyside(Raleys) or 365(WholeFoods) 4 cows,Canada,2
neu-568792520337039000,Orcale12c,UNIX,99,S6,P313,0, brought it all the way across the country today I see http://t.co/TKaUyGcPmS,USA,2
neu-GG-Tweet-11864,MySQL,Windows,99,S1,P31932,0,ugh i have to go to work. ,Canada,2
neu-GG-Tweet-11863,MySQL,Windows,99,S1,P31931,0,Two hours late for school. Guess gotta go for make up again ,Canada,2
neu-568781819233091000,Orcale12c,UNIX,99,S6,P316,0, are you ready!? Let's say it together.. 'Noooo turbulence today!' ðŸ˜˜,USA,2
neu-GG-Tweet-11862,MySQL,Windows,99,S1,P31930,0,i havent eat for almost a day ,Canada,2
neu-GG-Tweet-11861,MySQL,Windows,99,S1,P31929,0,@donaxvariabilis OMT love you! opening it in a new tab now. IM SUCKERED I MISSED DANIEL KANDI!!  #asot400,Canada,2
neu-568735060104511000,Orcale12c,UNIX,99,S6,P319,2, can u help this ðŸ‘¸ @FreyaBevan_Fund needs urgent treatment inðŸ‡ºðŸ‡¸2y old battling cancer could,USA,2
neu-568689188377403000,Orcale12c,UNIX,99,S6,P320,0, may start service to Hawaii from #SanFrancisco this year http://t.co/yPo7nYpRZl #biztravel,USA,2
neu-GG-Tweet-11860,MySQL,Windows,99,S1,P31928,0,Destroyed my diet and ordered Chinese ,Canada,2
neu-GG-Tweet-11859,MySQL,Windows,99,S1,P31927,0,@atrocity79-awwww man!! That's not kool!!! ,Canada,2
neu-568646087361355000,Orcale12c,UNIX,99,S6,P323,0, add DTW and I'm sold!,USA,2
neu-GG-Tweet-11858,MySQL,Windows,99,S1,P31926,0,"@gophango: dude, I live for your tweets. miss TdotO ",Canada,2
neu-GG-Tweet-11857,MySQL,Windows,99,S1,P31925,0,@MCRmuffin I am so sorry  god i'd love to talk to you honey. similar things with my family ,Canada,2
neu-568632394929958000,Orcale12c,UNIX,99,S6,P326,0, momma I made it! ðŸ˜ðŸ˜ðŸ˜,USA,2
neu-568630879246901000,Orcale12c,UNIX,99,S6,P327,0, please contact me about portfolio left on flight VX 27 from JFK to SFO tonite seat 7AM. Need it ret,USA,2
neu-568629385105793000,Orcale12c,UNIX,99,S6,P328,0, help. I was On  Flight  27 from JKF tonight. seat 7C left portfolio. Need it back!!,USA,2
neu-568626625857728000,Orcale12c,UNIX,99,S6,P329,1, @shrinerack Seattle bound. Wifey got me the duffle for vday. She's a keeper!!! Holla!!! http://t.co,USA,2
neu-GG-Tweet-11856,MySQL,Windows,99,S1,P31924,0,@IAMtheCOMMODORE i couldnt make it ! &gt;.&lt; i went to the movies. SOOO SORRY. ,Canada,2
neu-568607562251108000,Orcale12c,UNIX,99,S6,P331,0, Debbie Baldwin gave a #rockstar performance of the safety demo this evening on VX919 #LAS2SFO #Best,USA,2
neu-GG-Tweet-11855,MySQL,Windows,99,S1,P31923,0,"@brookeburke I dont know what my gym even looks like anymore, thats how long it's been since Ive gone ",Canada,2
neu-GG-Tweet-11854,MySQL,Windows,99,S1,P31922,0,def. hates clowns a little more now... thank you little brother for that lovely video you assrat ,Canada,2
neu-GG-Tweet-11853,MySQL,Windows,99,S1,P31921,0,@debskie79 me too  will you be there when I get back Wed. night for dinner at Tecce's??,Canada,2
neu-GG-Tweet-11852,MySQL,Windows,99,S1,P31920,0,the only reason i don't talk to you as much is because there is nothing to talk about. ,Canada,2
neu-GG-Tweet-11851,MySQL,Windows,99,S1,P31919,0,is pretty bummed   Play It Sam,Canada,2
neu-568579880046227000,Orcale12c,UNIX,99,S6,P337,1," Many Thanks for the Follow.
#ourprincess #freyasfund #USA #Bandie 
Looking for Any HelpðŸ˜
ðŸ’—ðŸ‡",USA,2
neu-568577243200376000,Orcale12c,UNIX,99,S6,P338,0," Nice, Lofty View @flyLAXairport. #SilverStatus http://t.co/F4Tp0dAwbd",USA,2
neu-GG-Tweet-11850,MySQL,Windows,99,S1,P31918,0,"@leezadlf: Ay, talaga? How has she been? I miss her... ",Canada,2
neu-568572344056180000,Orcale12c,UNIX,99,S6,P340,0, is my new go to airline,USA,2
neu-568571772251082000,Orcale12c,UNIX,99,S6,P341,1," @VirginAtlantic @GMA @AmericanAir 
Can You Help #ourprincess in need of some help in #USA 
ðŸŽ€ðŸ‡¬",USA,2
neu-GG-Tweet-11849,MySQL,Windows,99,S1,P31917,0,@InezLeb euwww i am so ugly in the picture ,Canada,2
neu-GG-Tweet-11848,MySQL,Windows,99,S1,P31916,0,"Ok, I'm calling it. Still too sick to drive to O-land for Barcamp tomorrow ",Canada,2
neu-568541317816561000,Orcale12c,UNIX,99,S6,P344,0, Flight Booking Problems flight to uphold my status match.  Do taxes on ticket count as earned statu,USA,2
neu-GG-Tweet-11847,MySQL,Windows,99,S1,P31915,0,I wish I could watch the video feed...but the buffering sucks!  #ASOT400,Canada,2
neu-GG-Tweet-11846,MySQL,Windows,99,S1,P31914,0,"@pinkee hnn, text me (or call me :\) if you want to like/want/whatev to talk to me  , but hmm, i see, you want to ignore me ",Canada,2
neu-GG-Tweet-11845,MySQL,Windows,99,S1,P31913,0,"uhm, had pft 2.4 run today and i failed. ",Canada,2
neu-GG-Tweet-11844,MySQL,Windows,99,S1,P31912,0,At Kayleigh's. Service tomorrow. Ugh. Text me in the morning. I miss my bestfrannnnnnnn &lt;3 ,Canada,2
neu-GG-Tweet-11843,MySQL,Windows,99,S1,P31911,0,Off to bed  Bye bye twittizens from twitterland lol!,Canada,2
neu-GG-Tweet-11842,MySQL,Windows,99,S1,P31910,0,@owlmonkeys fuck you ,Canada,2
neu-GG-Tweet-11841,MySQL,Windows,99,S1,P31909,0,crap i accidently messed up............  mitchel musso probably hates me now,Canada,2
neu-GG-Tweet-11840,MySQL,Windows,99,S1,P31908,0,"@Peachyyyy aw i love youuu, and miss you SO much  i cant be this long without youuu !",Canada,2
neu-568517447847780000,Orcale12c,UNIX,99,S6,P353,0, to jump into the #Dallas #Austin market http://t.co/SzR0pioA21,USA,2
neu-GG-Tweet-11839,MySQL,Windows,99,S1,P31907,0,stressed out   work o no.. next week too... i hate ie ...   someone shoot me,Canada,2
neu-GG-Tweet-11838,MySQL,Windows,99,S1,P31906,0,Ugh.  Looks like the Blues might just lose this one too.  ,Canada,2
neu-GG-Tweet-11837,MySQL,Windows,99,S1,P31905,0,@lyokamoto hey girly! i just left sunset   i wish  i got these updates to my phone..but lets hangout one of these days!!!,Canada,2
neu-568495808053702000,Orcale12c,UNIX,99,S6,P357,0, Can you help? Left my blazer in. Kooples jacket bag at 3rd row second seat from right gate 36 T3 la,USA,2
neu-568492682152189000,Orcale12c,UNIX,99,S6,P358,0, partners with @Visa Checkout as mobile payment method to help boost mobile conversion rates #etailw,USA,2
neu-GG-Tweet-11836,MySQL,Windows,99,S1,P31904,0,DJ names are impossible to come by ,Canada,2
neu-GG-Tweet-11835,MySQL,Windows,99,S1,P31903,0,@BJMendelson I have few followers....   ,Canada,2
neu-568483591623208000,Orcale12c,UNIX,99,S6,P361,0, i would like help with some flights please.,USA,2
neu-568483491819753000,Orcale12c,UNIX,99,S6,P362,0, â€œ@VirginAmerica: @giannilee Turn down for what. #VXSafetyDanceâ€,USA,2
neu-GG-Tweet-11834,MySQL,Windows,99,S1,P31902,0,is ready to go to bed.. last night in a bed until sunday night..  but I am ready for tomorrow's activities.. watch for updates!!! :p,Canada,2
neu-GG-Tweet-11833,MySQL,Windows,99,S1,P31901,0,enjoying the last weekend before going back to work.. ,Canada,2
neu-568476562376531000,Orcale12c,UNIX,99,S6,P365,0, Digging the swanky pink mood lighting during the flight from NYC to SFO.  Just needs a cabaret sing,USA,2
neu-568472719102234000,Orcale12c,UNIX,99,S6,P366,0," Done, but I need the receipt ASAP. Could you please help? #150219-000114",USA,2
neu-GG-Tweet-11832,MySQL,Windows,99,S1,P31900,0,@TriSARAHt0ps what are you getting done now? Your poor mouth ,Canada,2
neu-GG-Tweet-11831,MySQL,Windows,99,S1,P31899,0,getting ready for TAO .. even though Stan's MIA  hmm..,Canada,2
neu-GG-Tweet-11830,MySQL,Windows,99,S1,P31898,0,@nick_carter Honey what I must do for you tell me &quot;HI&quot; &quot;Hello&quot; ?? Signs of smoke? I will cry    :_(,Canada,2
neu-GG-Tweet-11829,MySQL,Windows,99,S1,P31897,0,@Kris_Wood Sorry about that ,Canada,2
neu-GG-Tweet-11828,MySQL,Windows,99,S1,P31896,0,http://twitpic.com/3i54q - Empty queen e for ballet  it's great too!,Canada,2
neu-GG-Tweet-11827,MySQL,Windows,99,S1,P31895,0,@pixelgangsta oh well please THANK her for answering my phone calls ,Canada,2
neu-GG-Tweet-11826,MySQL,Windows,99,S1,P31894,0,Tummy ache ,Canada,2
neu-568452676452806000,Orcale12c,UNIX,99,S6,P374,0," Adds Pillows Instead of Lie-Flat Seats in First Class Arms Race 
http://t.co/SfjDuahx9Z by @skift",USA,2
neu-GG-Tweet-11825,MySQL,Windows,99,S1,P31893,0,Homework ,Canada,2
neu-GG-Tweet-11824,MySQL,Windows,99,S1,P31892,0,i guess its over.  our friendship is no more? will we stilll see each other? no more best friends till the end? what has happend? :'(,Canada,2
neu-GG-Tweet-11823,MySQL,Windows,99,S1,P31891,0,@xoxo421 doh! I hate that. Sorry to see they lost ,Canada,2
neu-568440278853525000,Orcale12c,UNIX,99,S6,P378,0," I just did, how can I DM? Do u have to also add me?",USA,2
neu-GG-Tweet-11822,MySQL,Windows,99,S1,P31890,0,wow....my Berkman bobble head just doesn't seem as fun now.   What a loss. ,Canada,2
neu-GG-Tweet-11821,MySQL,Windows,99,S1,P31889,0,"im lonely  keep me company! 22 female, Austin - Texas",Canada,2
neu-568432117539065000,Orcale12c,UNIX,99,S6,P381,0," Anytime, sugafly.",USA,2
neu-GG-Tweet-11820,MySQL,Windows,99,S1,P31888,0,Oh and my MSN still isnt working. ,Canada,2
neu-568428224813916000,Orcale12c,UNIX,99,S6,P383,0, I need a receipt for a flight change. Can you send one?,USA,2
neu-GG-Tweet-11819,MySQL,Windows,99,S1,P31887,0,@StarLITpr I'm so sad  I know it's fun!,Canada,2
neu-GG-Tweet-11818,MySQL,Windows,99,S1,P31886,0,@burnsrodney lol I do @ 10 so gotta get it in before  horrible huh? Lol,Canada,2
neu-GG-Tweet-11817,MySQL,Windows,99,S1,P31885,0,@coerter r u ok??  do u need anything?,Canada,2
neu-568391084210036000,Orcale12c,UNIX,99,S6,P387,0," CEO says #Southwest &amp; #jetblue have strayed from low cost model.
http://t.co/96Sctomh29",USA,2
neu-568382154071089000,Orcale12c,UNIX,99,S6,P388,0, a brilliant brisk am in Boston in cue for vx363 http://t.co/rMZNIVGmg6,USA,2
neu-568364437599436000,Orcale12c,UNIX,99,S6,P389,0, Atlantic ploughs a lone furrow in the #MiddleEast http://t.co/FVUdmh27pF @TheNationalUAE,USA,2
neu-568349321634013000,Orcale12c,UNIX,99,S6,P390,0, Atlantic ploughs a lone furrow in the #MiddleEast http://t.co/DCoBoKN7EE @TheNationalUAE,USA,2
neu-568307768551026000,Orcale12c,UNIX,99,S6,P391,0, Atlantic ploughs a lone furrow in the #MiddleEast http://t.co/vw4P4T4tLh @TheNationalUAE,USA,2
neu-GG-Tweet-11816,MySQL,Windows,99,S1,P31884,0,@perezhilton you should come over to my place for drinks. Just kidding I'm not 21 ,Canada,2
neu-GG-Tweet-11815,MySQL,Windows,99,S1,P31883,0,Getting the hang of this but none of my friends r even on here? ,Canada,2
neu-568265552583479000,Orcale12c,UNIX,99,S6,P394,0, when are you flying to hawaii,USA,2
neu-GG-Tweet-11814,MySQL,Windows,99,S1,P31882,0,@Piablo oo really? i'll check it tomorrow! prolly wont be up tonight i'm guessing ,Canada,2
neu-GG-Tweet-11813,MySQL,Windows,99,S1,P31881,0,happy friday twitter bugs!! have a safe and fun night! im stuck in the house studying ,Canada,2
neu-GG-Tweet-11812,MySQL,Windows,99,S1,P31880,0,Can't stop crying.  Man....  7pounds is no joke ,Canada,2
