tweet_id,Tweet,class
neu-GG-Tweet-11908,hope feel better,0
neu-GG-Tweet-11907,bore friday night,1
neu-569197611393163000,updat flight jfk gt lax,2
neu-569197515993534000,spruce moo,2
neu-GG-Tweet-11906,freakin crap bit tongu accid,1
neu-GG-Tweet-11905,walk pillow,2
neu-GG-Tweet-11904,they put dog sleep like year trip everi time come home kinda weird see,1
neu-GG-Tweet-11903,I am lone keep compani femal fort myer florida,1
neu-GG-Tweet-11902,I am lone keep compani femal amarillo texa,1
neu-GG-Tweet-11901,ad twitter ruin good thing googl chief sing twitter prais open ad deal httpsbnewsrlr,0
neu-GG-Tweet-11900,dang work morn,2
neu-GG-Tweet-11899,wish sit beach storm,2
neu-GG-Tweet-11898,it I am awak,2
neu-GG-Tweet-11897,wa not abl get quot,0
neu-GG-Tweet-11896,boooooo work tomorrow,2
neu-569018352464588000,if you would love see girl inspir becom pilot rt free woaw event march,0
neu-GG-Tweet-11895,that is problem miss peopl miss angel glanc bestnot creatur actual exist,1
neu-568989005162766000,beat expect share take santa cruz sentinel httptcoqmdqbaig,2
neu-568977175149293000,big lovegratitudempow httptcoagrkncpf werin oscar vipswagbag avalonhollywood,2
neu-GG-Tweet-11894,ticket everyth improv nation end week though think still ebay did not sell,2
neu-568945265899483000,grand budapest hotel oscarscountdown,0
neu-568943244027006000,thi miss next trip,2
neu-GG-Tweet-11892,where is blackberri messeng,2
neu-GG-Tweet-11891,codi horribl never I am traumat,1
neu-GG-Tweet-11890,watchin friday the th part fuse wit mom got sunburn day miracl st nice day nd get burn,0
neu-GG-Tweet-11889,bore stuck insid snow storm noth tv,1
neu-568928605226426000,share rise financi result usa today httptcolfspefey,2
neu-GG-Tweet-11887,on way airport say bye kid soooo hard,1
neu-568920614716600000,way take advantag mayweatherpacquiao,2
neu-568920221882257000,know I am fli virgin fight mayweatherpacquiao,2
neu-GG-Tweet-11885,lol doo do not get tweet alert,0
neu-GG-Tweet-11884,get molest pedo,2
neu-568898405189038000,share result httptcoxzqegnef,2
neu-GG-Tweet-11883,said you would never forget,2
neu-GG-Tweet-11882,peopl neopet are horribl peopl,1
neu-568890062286385000,when guy go start fli pari you are welcomeâ€,2
neu-568884848632279000,polici fli surgeri still wait answer tell doctor,2
neu-GG-Tweet-11881,deessss text go bed check text tri call ill talk tom,1
neu-GG-Tweet-11880,sec left opposit side total bum talk mampg look,1
neu-GG-Tweet-11879,guess everyon went nite,2
neu-568867068331864000,think left someth plane yesterday callah,2
neu-568865011717705000,need follow back order dm,2
neu-568864815654899000,need start fli ðÿ˜šðÿ˜€ðÿ˜ƒðÿ˜„,2
neu-GG-Tweet-11878,you did not come outsid meet greet tonight,2
neu-GG-Tweet-11877,well time pack,2
neu-GG-Tweet-11876,saw trailer my sister keeper it look realli good I am realli fan cast,0
neu-568847512372514000,polici fli surgeri,2
neu-568845553104068000,post second consecut fullyear net profit httptcotvbzbzvhg,2
neu-GG-Tweet-11875,I am sorri hun wish could help,1
neu-GG-Tweet-11874,watch tron tri get sleep horribl weekend begin,1
neu-568838020041809000,result handili exceed forecast httptcogonmrwemi,0
neu-568837602071203000,appli posit wonder guy receiv applic,2
neu-568833739192557000,achiev second year profit despit revenu pressur httptcoz,2
neu-GG-Tweet-11873,ywatch ovi horni,2
neu-568828648687591000,weather delay gt next week jfk bo dca,1
neu-568828112626012000,check websit go airport,2
neu-GG-Tweet-11872,at walli till am plea come rescu,2
neu-568823689422053000,pilot say expect choppi land nyc due gusti wind wa temperatur deg,1
neu-GG-Tweet-11871,onli two day vacat left,2
neu-GG-Tweet-11868,still wonder happen gerard butler page,2
neu-GG-Tweet-11866,wish coachella,2
neu-568795484283736000,miss flight how standbi work,2
neu-GG-Tweet-11865,sure I am thank much research horizon bottom cow sunnysideraley wholefood cow,0
neu-568792520337039000,brought way across countri today see httptcotkauygcpm,2
neu-GG-Tweet-11864,ugh go work,2
neu-GG-Tweet-11863,two hour late school guess got to go make,1
neu-GG-Tweet-11862,have not eat almost day,2
neu-GG-Tweet-11861,omt love open new tab I am sucker miss daniel kandi asot,0
neu-568689188377403000,may start servic hawaii sanfrancisco year httptcoyponyprzl biztravel,2
neu-GG-Tweet-11860,destroy diet order chine,2
neu-GG-Tweet-11859,awwww man that is kool,0
neu-568646087361355000,add dtw I am sold,2
neu-GG-Tweet-11857,sorri god id love talk honey similar thing famili,2
neu-568632394929958000,momma made ðÿ˜ðÿ˜ðÿ˜,2
neu-568630879246901000,plea contact portfolio left flight vx jfk sfo tonit seat am need ret,2
neu-568629385105793000,help on flight jkf tonight seat left portfolio need back,2
neu-568626625857728000,seattl bound wifey got duffl vday she is keeper holla httptco,2
neu-GG-Tweet-11856,could not make gtlt went movi sooo sorri,1
neu-568607562251108000,debbi baldwin gave rockstar perform safeti demo even vx lassfo best,0
neu-GG-Tweet-11855,do not know gym even look like anymor that is long sinc I have gone,1
neu-GG-Tweet-11853,get back wed night dinner tecc,2
neu-568579880046227000,mani thank follow ourprincess freyasfund usa bandi look ani helpðÿ˜ ðÿ ’ —ðÿ‡,0
neu-568577243200376000,nice lofti view silverstatu httptcoftpdawbd,0
neu-GG-Tweet-11850,ay talaga how miss,2
neu-568571772251082000,can you help ourprincess need help usa ðÿž€ðÿ‡¬,2
neu-GG-Tweet-11849,euwww ugli pictur,1
neu-GG-Tweet-11848,ok I am call still sick drive oland barcamp tomorrow,1
neu-568541317816561000,flight book problem flight uphold statu match do tax ticket count earn statu,2
neu-GG-Tweet-11847,wish could watch video feedbut buffer suck asot,1
neu-GG-Tweet-11846,hnn text call want likewantwhatev talk hmm see want ignor,2
neu-GG-Tweet-11845,uhm pft run today fail,1
neu-GG-Tweet-11844,at kayleigh servic tomorrow ugh text morn miss bestfrannnnnnnn lt,2
neu-GG-Tweet-11843,off bed bye bye twittizen twitterland lol,0
neu-GG-Tweet-11842,fuck,1
neu-GG-Tweet-11841,crap accid mess mitchel musso probabl hate,1
neu-568517447847780000,jump dalla austin market httptcoszrpioa,2
neu-GG-Tweet-11839,stress work next week hate ie someon shoot,1
neu-GG-Tweet-11838,ugh look like blue might lose one,2
neu-GG-Tweet-11837,hey girli left sunset wish got updat phonebut let u hangout one day,2
neu-568492682152189000,partner checkout mobil payment method help boost mobil convers rate etailw,2
neu-GG-Tweet-11836,dj name imposs come,1
neu-GG-Tweet-11835,follow,1
neu-568483591623208000,would like help flight plea,2
neu-568483491819753000,â€œ turn vxsafetydanceâ€,1
neu-568476562376531000,dig swanki pink mood light flight nyc sfo just need cabaret sing,1
neu-568472719102234000,done need receipt a soon a possibl could plea help,2
neu-GG-Tweet-11832,get done your poor mouth,1
neu-GG-Tweet-11830,honey must tell quothiquot quothelloquot sign smoke cri,2
neu-GG-Tweet-11829,sorri,1
neu-GG-Tweet-11828,httptwitpiccomiq empti queen ballet great,0
neu-GG-Tweet-11827,oh well plea thank answer phone call,2
neu-GG-Tweet-11826,tummi ach,2
neu-GG-Tweet-11825,homework,2
neu-GG-Tweet-11823,doh hate sorri see lost,1
neu-568440278853525000,dm do also add,2
neu-GG-Tweet-11822,wowmi berkman bobbl head doe not seem fun what loss,0
neu-GG-Tweet-11821,I am lone keep compani femal austin texa,1
neu-568432117539065000,anytim sugafli,2
neu-GG-Tweet-11820,oh msn still is not work,2
neu-568428224813916000,need receipt flight chang can send one,2
neu-GG-Tweet-11819,I am sad know fun,1
neu-GG-Tweet-11817,ok need anyth,0
neu-568391084210036000,ceo say southwest amp jetblu stray low cost model httptcosctomh,2
neu-568382154071089000,brilliant brisk boston cue vx httptcormznivgmg,0
neu-568364437599436000,atlant plough lone furrow middleeast httptcofvudmhpf,2
neu-568349321634013000,atlant plough lone furrow middleeast httptcodcobokne,2
neu-568307768551026000,atlant plough lone furrow middleeast httptcovwpttlh,2
neu-GG-Tweet-11816,come place drink just kid I am,2
neu-GG-Tweet-11815,get hang none friend even,2
neu-568265552583479000,fli hawaii,2
neu-GG-Tweet-11814,oo realli ill check tomorrow prolli will not tonight I am guess,1
neu-GG-Tweet-11813,happi friday twitter bug safe fun night I am stuck hous studi,0
neu-GG-Tweet-11812,can not stop cri man pound joke,1
neu-GG-Tweet-11811,wonder sundberg all phone,2
neu-GG-Tweet-11809,do not think,2
neu-568209028188233000,if guy start flight end month guess iâ€™m still road trippi,2
neu-GG-Tweet-11808,I am lone keep compani femal decatur alabama,1
neu-GG-Tweet-11807,home I am sad mexico anymor,1
neu-568193116437483000,dollar laxla fare,2
neu-GG-Tweet-11806,headach is not go away want pancaakkesss,2
neu-GG-Tweet-11805,ugghhh throat burn,2
neu-GG-Tweet-11804,is alon,2
neu-GG-Tweet-11803,suddenli ill plan go film wish someon would bring soymilk fill empti ensicken belli,1
neu-568150150289461000,you still develop app favorit airlin,0
neu-568144330268868000,a channel year,2
neu-568142526110019000,onli thing see passbook virgin mobil mexico how integr,2
neu-GG-Tweet-11799,get sooooo tire got to work seven yuck,1
neu-GG-Tweet-11798,at beach will get le hr min sleep xd still miss peopl amp despair faction lt,1
neu-GG-Tweet-11796,sad my cuti brendan got blindsid big time now do not know root,1
neu-568122723915862000,help step game tindertip tinderchamp httptcojbmvvhaa,1
neu-GG-Tweet-11794,dmn sorri hear noth cool say srri hear,1
neu-568104519633993000,add austindalla love field rout httptcoxwjolflh httptcoyaormfkac,0
neu-GG-Tweet-11793,actual sold year ago mayb thatquot whi,2
neu-568101393111891000,tweet cancel flightchng fee flight rebook one af,2
neu-GG-Tweet-11792,it doe not matter no one did it starbuck grand vanilla latt bff today,2
neu-568100090390425000,now see virginamerica come philadelphia phl,2
neu-GG-Tweet-11791,ummm yeah blow lead th good time not come fella angel,0
neu-GG-Tweet-11790,oop accident instal wga laptop vista instal pirat copi laptop japanes,2
neu-568088472772157000,start xweekli flight dalla austin apr avgeek,2
neu-568086068328681000,nice see expand texa do not forget u sandiego would love see,0
neu-GG-Tweet-11789,I am tag lj entri amp came across one civic tour last year portland autist boyfriend amp compani got sad,1
neu-568068513224654000,battl rout httptcorlzebkx via,2
neu-GG-Tweet-11787,twitter get bore do not know hype die,1
neu-GG-Tweet-11786,good leav forksi look foward flight though,0
neu-568061922265804000,miss nerdbird san jose,2
neu-GG-Tweet-11785,yet anyway look though,2
neu-568053134439788000,plea add frequenc pdx portland,0
neu-GG-Tweet-11783,soooo feel good suck,0
neu-GG-Tweet-11782,do not get see guy back,2
neu-GG-Tweet-11781,littl dead bird mat outsid door today he fell nest came worldsad,1
neu-GG-Tweet-11779,oh jeez look mirror guess reflect look like tall pale et,1
neu-GG-Tweet-11778,we disappoint mia farrow cancel support genocid awar month event dc april,1
neu-GG-Tweet-11777,time say last hurrah kel tonight beer tear,2
neu-GG-Tweet-11776,found wii homebrew channel today wii alreadi updat can not instal hack updat,2
neu-567899492885745000,virgin america fli direct seattl nyc boston,0
neu-GG-Tweet-11774,yea bad did not come u,1
neu-GG-Tweet-11773,soon though will join road,2
neu-567855171335626000,save tomorrow am,2
neu-GG-Tweet-11772,hous md still ahol chang charact yet lost track show month ago,2
neu-GG-Tweet-11771,tri sushi first time open mind sorri,1
neu-567845726220357000,thestarterðÿ˜,2
neu-567845203014377000,plea come minneapoli st paul,2
neu-567829051559186000,ye fyi my bff,2
neu-GG-Tweet-11770,off weekend selma reenact tomorrow suppos rain figur,2
neu-GG-Tweet-11769,sit sister comput,2
neu-GG-Tweet-11768,so sad learn episod dollhous week,1
neu-GG-Tweet-11767,lolwuteveru do not hit nemor,2
neu-GG-Tweet-11766,dunno keepup acct could good luck wthat if follow id get randi bad biz,1
neu-567811428779868000,applic io wa look saw virgin mexico lt,2
neu-GG-Tweet-11765,write fishman b essay funer,2
neu-GG-Tweet-11764,hug park metal bar slip hit rib cage,2
neu-567807640660619000,good point,0
neu-567807288192290000,heard virgin mobil hotspot,2
neu-567807278964023000,got chees plate flight,2
neu-567806905617281000,on flight,2
neu-GG-Tweet-11763,well officiali lost still want hit doe not matter dress mariachi band member lol,0
neu-GG-Tweet-11761,go got to drive bunch outoftown fam fro wed prob end come home,2
neu-567796863467839000,come abc one network channel do not,2
neu-GG-Tweet-11760,hate dryer doe not start doe not find midnight,2
neu-GG-Tweet-11759,head home work do not think I am go make run for merci tomorrow even is not rain sorri gene,1
neu-GG-Tweet-11758,when saw twit trend virtual assist hope insid someth ai agent but,1
neu-GG-Tweet-11757,feel good,0
neu-GG-Tweet-11756,the guild feel lone without,1
neu-GG-Tweet-11755,empir bandsongth upload site,2
neu-GG-Tweet-11754,our dog feel well mope alway feel helpless happen even babi tylenol did not help time,2
neu-GG-Tweet-11753,cool thank thank,0
neu-GG-Tweet-11752,want,2
neu-GG-Tweet-11751,type reportsoooo bore,1
neu-567755402943930000,can give silver statu month,2
neu-GG-Tweet-11749,just finish ct scan amp xrayh doe not like strap,1
neu-GG-Tweet-11748,my phone break it puddl water,2
neu-GG-Tweet-11747,go bed wake tomorrow write paper class,2
neu-567742937325260000,are sign bonus enrol elev,2
neu-GG-Tweet-11746,alic awesom want to rip jame head tooooo,0
neu-567742148603170000,morn if question regard elev point amp flight dm,2
neu-567735941846937000,still wait see ðÿ˜ž,2
neu-GG-Tweet-11745,love raaay neck rell hurt jeeezelaweeez,0
neu-567726092518031000,book town fare $ way restr httptcoxrdtovnl httptcoybyackcâ€,2
neu-GG-Tweet-11744,wtf weekendh do not know sinc have not seen hmmm day,1
neu-GG-Tweet-11743,love summer can not come fast enough miss terribl I am sorri you are sick hug,1
neu-GG-Tweet-11742,went kid go watch way better thought would alexi threw fit did not get finish,0
neu-GG-Tweet-11741,awww poor zach I am sorri that is not right of peopl to just put your interview up on youtub like what mrscjbaranlt,1
neu-GG-Tweet-11740,krj goddamn we miss favorit thithter,0
neu-GG-Tweet-11739,drug foot long spend see turbonegro tonight show sold,1
neu-570305603056349000,even intern flight glasgow u then orlando newark all min,2
neu-GG-Tweet-11738,miss bff,2
neu-570302375510056000,understand tough way get airport wo seriou risk acci,1
neu-GG-Tweet-11737,unfortun they have manag find stabl method bottl luck yet,1
neu-570301670892146000,fli glamco week how long airport departur,1
neu-GG-Tweet-11736,I am back need work plan damn paperwork tweet home are not interest,0
neu-GG-Tweet-11735,these peopl crazi it like alway watch mewait next mistak they alreadi attack multipl time tonight,1
neu-570299388670701000,is law polici,2
neu-GG-Tweet-11734,go bed hope nerv let rest hate know backyard wide open,1
neu-GG-Tweet-11732,I am upset phone hope is not broken good stupid tmobil,1
neu-570298027103162000,do not I am sure unit info system,0
neu-GG-Tweet-11730,just ask friend nonsmok hotel room forgot were not vega,2
neu-570297970891075000,just submit respons link sent,2
neu-570296556852789000,ye david allan send email number kmmvlkm case,2
neu-GG-Tweet-11729,new lost ep awesom do not want to stop watch get back work,0
neu-GG-Tweet-11728,whi show much attent hater do not respond fan love never respond just block bitch,0
neu-570294445020733000,ye paper voucher got januari th,2
neu-GG-Tweet-11727,the citi got cold,1
neu-GG-Tweet-11726,httptwitpiccomicv you all go to,2
neu-570291866530398000,suppos number,2
neu-GG-Tweet-11725,dodger lose,2
neu-GG-Tweet-11724,in chicago,2
neu-570291492545298000,lost voucher given miami aeroport jan use,2
neu-GG-Tweet-11723,damn wish could did not get get today,2
neu-GG-Tweet-11722,never quothandledquot autist kid do not feel bad probabl clue,1
neu-570290540274688000,gee that is like almost care ppl $ $ think I am int,0
neu-GG-Tweet-11721,I am still put weight,2
neu-GG-Tweet-11720,bore home camera friend onlin aw,1
neu-GG-Tweet-11718,lookin forward day enough energi stay past fri nite sinc ever day,1
neu-GG-Tweet-11716,gooooodnight last competit tomorrow tire,1
neu-GG-Tweet-11715,super delici rachel super nice help u pay rest I am super scare,0
neu-570285578563891000,have client hr layov iah day will claim amp recheck,2
neu-570285537833168000,tri find loaner seat new use use car seat illeg accord,1
neu-570285115655348000,dmed detail,2
neu-GG-Tweet-11714,not go fall out boy anymor feel like crap,1
neu-570284312697765000,kewl will also let know overhead bin row inop love good abbrev,0
neu-GG-Tweet-11713,aww fun fun hope did not era,0
neu-GG-Tweet-11712,conor oberst go summerfest gahhh,2
neu-GG-Tweet-11711,I am lone keep compani femal jacksonvil florida,1
neu-GG-Tweet-11710,got cold,1
neu-GG-Tweet-11709,ummm updat second haxrnofollow,2
neu-GG-Tweet-11708,thought hair like mine,2
neu-GG-Tweet-11707,ugh what bitch you taco tomorrow,2
neu-GG-Tweet-11705,they nd show right do not think well abl unless hang around detroit two hour,0
neu-GG-Tweet-11704,had leav relay earli unfortun homework take preced fun,1
neu-GG-Tweet-11702,work forgot phone home,2
neu-GG-Tweet-11701,sorri what is ur network thingi,1
neu-GG-Tweet-11700,can not plea anyon I am torn direct need make clone,2
neu-GG-Tweet-11699,ball they fill mani girltalk dancer,0
neu-GG-Tweet-11698,say drive slow just think of all the do not stop the whole way we can play on the drive,1
neu-GG-Tweet-11696,dread fact she is home still dominican,2
neu-570272406570442000,ord dca,2
neu-GG-Tweet-11695,no shit sad,1
neu-GG-Tweet-11694,live cool thank god degre thing thousand ppl around,1
neu-GG-Tweet-11693,if repli slow miss plea patient they show tweetdeck have scroll frinightfev,1
neu-GG-Tweet-11692,judg said can not,1
neu-570271367519604000,cancel flight flight did not rebook u ad flight drive denver,2
neu-570271205300703000,announc pre board address mobil my disabl requir travel wit,2
neu-GG-Tweet-11691,man wrist hurt hate,1
neu-GG-Tweet-11690,aw,1
neu-GG-Tweet-11689,thank wish todd have not updat twitter put tuesday it best,0
neu-GG-Tweet-11688,my tummi hurt,2
neu-GG-Tweet-11687,bore outta effin mindnot hungri need eat someth take med,1
neu-GG-Tweet-11686,my day beach went snorkel tush got bit sunburn alright back home tomorrow,2
neu-GG-Tweet-11685,the girl asleep I am bore watch televis still have not talk boy mayb need time apart,1
neu-GG-Tweet-11683,feel shitay,2
neu-GG-Tweet-11682,sit home copi present note onto index card would rather eat movi popcorn ogl zefron,2
neu-GG-Tweet-11681,want watch movi do not find dvd,2
neu-GG-Tweet-11680,hous tryna take care sick moe,1
neu-GG-Tweet-11677,bore watch hockey game bu final tomorrow,1
neu-GG-Tweet-11676,ughfeel like craplif suck much,1
neu-GG-Tweet-11675,tiffi need talk,2
neu-GG-Tweet-11674,my toe cold,1
neu-GG-Tweet-11673,ask who is watch ateneo la sall game today httpplurkcomporwzq,1
neu-GG-Tweet-11672,might get fight tomorrow,2
neu-570259131879309000,it last night ordlga,2
neu-GG-Tweet-11671,work earli tomorrow bum insid day damn mi weather of cours nice work,0
neu-570258476695302000,thank,2
neu-570257564023128000,dm nut,2
neu-GG-Tweet-11670,go krystal get tattoo she might die,2
neu-GG-Tweet-11668,okso closer observ scratch fli old mensugar dad obviou reason damn knew good true,0
neu-GG-Tweet-11667,my itun delet all song ipod nooo ugh,2
neu-GG-Tweet-11666,oh rememb pizza smaller mr cri,2
neu-GG-Tweet-11665,would come sad day,1
neu-GG-Tweet-11664,begin ten page paper medium law weekend work blah get advertis quot paseo art festiv tshirt,2
neu-GG-Tweet-11662,no maga work bsnl head offic,2
neu-GG-Tweet-11661,omg love anim cross much devist realiz lost move,0
neu-570249680535339000,thank,2
neu-GG-Tweet-11660,I am go to cri quottinafeyquot fake,1
neu-570247839563034000,email address reach too long dm,1
neu-GG-Tweet-11659,actual turn tv watch interview saw noth did miss someth,2
neu-GG-Tweet-11658,httptwitpiccomitp that loneliest bench world,2
neu-GG-Tweet-11654,twitterrif no,2
neu-GG-Tweet-11653,homework,2
neu-570243296741752000,so need book two one way order fli unaccompani minor,0
neu-GG-Tweet-11652,is veri sad broke wife decor spoon,1
neu-570239165675249000,pl help babi hannah get life save surgeri requiressh need helppl donatert,2
neu-570237629775675000,bet will not honour like mine ey,2
neu-GG-Tweet-11650,tire,1
neu-GG-Tweet-11649,awww and certainli bamf you are new chuck norri that is ba,0
neu-GG-Tweet-11648,dig wander typo anyway just realiz I am dress like fez quotthat showquot,2
neu-GG-Tweet-11647,did see said one comput crap,2
neu-GG-Tweet-11646,can not believ boyfriend injur first game footi feel like go cri,1
neu-GG-Tweet-11645,whi you all did not tell rocket play tomorrow tonightman readi watch game,1
neu-GG-Tweet-11644,bore outta mind sigh noth back still kill ahhhhg can not keep shitttt fml,1
neu-GG-Tweet-11643,aw know miss u random hockey fight game made epic can not rememb,1
neu-GG-Tweet-11642,whi ask serious ask alway lead answer do not want to hear,1
neu-GG-Tweet-11641,thi great,0
neu-570232726206312000,plea good weekend,0
neu-GG-Tweet-11640,ji cuz spend min put makeup doe not make hr mood swing,2
neu-GG-Tweet-11639,quoti need quot httptwlolcomtwv lol ichc cat still miss mine dang,0
neu-GG-Tweet-11637,aww corey,0
neu-570229936285331000,you all probabl work,2
neu-GG-Tweet-11636,tri make cake bowl thing look like pud cake stink add water microwav,0
neu-GG-Tweet-11634,sorri send msg erica lol wait send twitter lol,0
neu-GG-Tweet-11633,look mylilmanalex can not find,2
neu-570227149682155000,ye plea tri get pop newark,2
neu-GG-Tweet-11631,feel well,2
neu-GG-Tweet-11630,feel bum but good time alec and miss girl anyth,0
neu-GG-Tweet-11629,you guy acost perform championship meet tomorrow will not end til cami,2
neu-570222630525014000,know probabl way get cheaper airfar ticket flight le,2
neu-570219942961922000,someon plea explain process happen properti found plane passen,2
neu-GG-Tweet-11628,know would that is worri,2
neu-GG-Tweet-11627,believ die abdc,2
neu-GG-Tweet-11626,my word processor doe not work so type crap stupid email,1
neu-570215359963406000,dm work,2
neu-GG-Tweet-11624,well I am go see composurecavashawn tomorrow everi one el,2
neu-GG-Tweet-11623,even do not twist still medium produc leagu tabl lead sink school,2
neu-570211313072238000,yulord,2
neu-GG-Tweet-11622,everyon leav,2
neu-GG-Tweet-11621,lol love u wonder she is go europ,0
neu-570209482090917000,done done,2
neu-GG-Tweet-11620,eitherrr idk peopl jealousss,2
neu-GG-Tweet-11618,are not never concert cuz mama,2
neu-GG-Tweet-11617,can not believ wake earli saturday wtf,1
neu-GG-Tweet-11615,you guy acost perform championship meet tomorrow will not end til cami,2
neu-GG-Tweet-11614,in floridaaaaaaaaaa too bad tv did not work jet blue,1
neu-GG-Tweet-11613,I am sit watch soup lone,1
neu-GG-Tweet-11612,ice ankl,2
neu-570197589280366000,respons bot it seem improv could easili attain is st cla,0
neu-GG-Tweet-11611,miss bad hope she will home soon,1
neu-570196424043814000,book award tix thaiairway I am see conf unit flight book,2
neu-GG-Tweet-11610,oh love awak stupid of the clock everybodi el land nod,1
neu-GG-Tweet-11609,ya srsli kiss tvxq member wa not bad,1
neu-GG-Tweet-11608,oye me I am also pump,2
neu-GG-Tweet-11606,final met best friend fianc,0
neu-GG-Tweet-11605,dorm alon watch movi,2
neu-GG-Tweet-11604,you guy acost perform championship meet tomorrow will not end til cami,2
neu-GG-Tweet-11603,feel like someon punch lip,2
neu-GG-Tweet-11602,final back go straid bed wish could go,2
neu-GG-Tweet-11601,you guy acost perform championship meet tomorrow will not end til cami,2
neu-570181906492297000,flight dfw ord current ontim see advisori dfw may affect weat,2
neu-GG-Tweet-11600,realiz spend almost preciou weekend sleep what wastetoo bad do not sleep depriv well,1
neu-GG-Tweet-11599,idki he doe not like frown,2
neu-GG-Tweet-11598,babi,2
neu-GG-Tweet-11596,leakag huh I am afraid miss someth good but head hurt bad care bummer,1
neu-GG-Tweet-11595,ouch,2
neu-GG-Tweet-11594,hate good day end bad,2
neu-GG-Tweet-11593,omg want to watch think ill miss luca jenni got feverrrr,1
neu-GG-Tweet-11592,go tomorrrrooooowwwww,2
neu-570172921102143000,I am fli st class one leg chicago long flight china still ab,1
neu-GG-Tweet-11591,go work amp can not sleep,2
neu-GG-Tweet-11590,my comput broken technolog hate,1
neu-570164810144481000,okay thank,0
neu-570163662100549000,I have file claim way call updat is anoth way,2
neu-GG-Tweet-11589,want one pictur lol,0
neu-GG-Tweet-11587,it make sad realiz have not seen coupl week,1
neu-GG-Tweet-11586,what is gotten day go state bad luck againkeep break stuff,1
neu-GG-Tweet-11585,want put pic profil do not know phone,2
neu-GG-Tweet-11581,sheesh harsh word,1
neu-GG-Tweet-11580,can not believ boy like girl actual consid tour brazil wish they would come,2
neu-GG-Tweet-11579,sighh broke somethingi broke mpplayer,2
neu-GG-Tweet-11578,ahh mine total I am piss,2
neu-570135557151580000,ani luck final reserv dmd inform plea let know el yo,2
neu-GG-Tweet-11576,in savannah wt famili,1
neu-GG-Tweet-11575,went wrong show there conga line ohio,1
neu-GG-Tweet-11574,ya text would be cool iw sih iad it too,0
neu-GG-Tweet-11573,sm tweet still fail twitter ha not act support request either,1
neu-570121135603486000,keep updat let know bag make flight jburg,2
neu-GG-Tweet-11572,both team lost yesterday,2
neu-GG-Tweet-11571,friend just talk want see perform leav ny suck,1
neu-GG-Tweet-11570,do not think I am objectifi point,2
neu-GG-Tweet-11569,ahh dnt know sayim friend guy dnt like,2
neu-GG-Tweet-11568,httptwitpiccomit total miss realli good one,0
neu-GG-Tweet-11567,omg got ini went uri today then drove around ri went outlet went visit familydidnt get friend,2
neu-570115243747074000,would like know what is go current flight land,2
neu-GG-Tweet-11566,unfortun think long rek get I am stuck watch comedi central,1
neu-GG-Tweet-11564,hey matt,2
neu-GG-Tweet-11563,ohhh you are say face fugli,2
neu-GG-Tweet-11561,is head bed long day meet sushi wine plu cold,1
neu-570106900970221000,thi not local unit number malaysia what local unit airli,2
neu-GG-Tweet-11560,so want work weekend,2
neu-GG-Tweet-11559,rabbit ran front car,2
neu-570106249024446000,send urgent messag via eservicecom bgkwm narayanan plea respond a soon a possibl al,2
neu-GG-Tweet-11558,thi happen peopl ditch quotwoohoo friday nightquot friday,2
neu-GG-Tweet-11556,reup yesterday full price,0
neu-GG-Tweet-11555,close friend one profession say I am mean enough consist,1
neu-570102725842575000,sent feedback thank,2
